targetCate,trialType,stimIndex,duration,probeLeftIndex,probeRightIndex,probeOrder
Face,presurprise,90,short,,,OrientationFirst
Face,presurprise,15,long,,,OrientationFirst
Face,presurprise,31,short,,,OrientationFirst
Face,presurprise,86,long,,,OrientationFirst
Face,presurprise,105,short,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,35,long,,,OrientationFirst
Face,presurprise,66,long,,,OrientationFirst
Face,presurprise,73,short,,,OrientationFirst
Face,presurprise,81,long,,,OrientationFirst
Face,presurprise,43,short,,,OrientationFirst
Face,presurprise,88,long,,,OrientationFirst
Face,presurprise,28,long,,,OrientationFirst
Face,presurprise,92,long,,,OrientationFirst
Face,presurprise,40,long,,,OrientationFirst
Face,presurprise,71,short,,,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,38,long,,,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,14,short,,,OrientationFirst
Face,presurprise,24,long,,,OrientationFirst
Face,presurprise,1,short,,,OrientationFirst
Face,presurprise,61,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,18,long,,,OrientationFirst
Face,presurprise,85,short,,,OrientationFirst
Face,presurprise,58,long,,,OrientationFirst
Face,presurprise,60,short,,,OrientationFirst
Face,presurprise,59,long,,,OrientationFirst
Face,presurprise,29,short,,,OrientationFirst
Face,presurprise,8,long,,,OrientationFirst
Face,presurprise,48,short,,,OrientationFirst
Face,presurprise,98,short,,,OrientationFirst
Face,presurprise,100,long,,,OrientationFirst
Face,surprise,37,short,37.0,19.0,OrientationFirst
Face,postsurprise,40,long,40.0,4.0,OrientationFirst
Face,postsurprise,80,short,98.0,80.0,OrientationFirst
Face,postsurprise,21,short,3.0,21.0,OrientationFirst
Face,postsurprise,85,short,85.0,67.0,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,103,short,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,36,short,,,OrientationFirst
Face,presurprise,84,long,,,OrientationFirst
Face,presurprise,49,long,,,OrientationFirst
Face,presurprise,108,long,,,OrientationFirst
Face,presurprise,10,short,,,OrientationFirst
Face,presurprise,58,short,,,OrientationFirst
Face,presurprise,19,long,,,OrientationFirst
Face,presurprise,2,long,,,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,44,long,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,7,long,,,OrientationFirst
Face,presurprise,4,short,,,OrientationFirst
Face,presurprise,27,long,,,OrientationFirst
Face,presurprise,88,short,,,OrientationFirst
Face,presurprise,65,long,,,OrientationFirst
Face,presurprise,75,short,,,OrientationFirst
Face,presurprise,21,short,,,OrientationFirst
Face,presurprise,12,short,,,OrientationFirst
Face,presurprise,92,long,,,OrientationFirst
Face,presurprise,91,short,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,86,long,,,OrientationFirst
Face,presurprise,99,long,,,OrientationFirst
Face,presurprise,71,long,,,OrientationFirst
Face,presurprise,60,short,,,OrientationFirst
Face,presurprise,16,long,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,presurprise,95,short,,,OrientationFirst
Face,presurprise,87,long,,,OrientationFirst
Face,presurprise,62,short,,,OrientationFirst
Face,presurprise,64,long,,,OrientationFirst
Face,presurprise,47,short,,,OrientationFirst
Face,presurprise,41,long,,,OrientationFirst
Face,presurprise,51,short,,,OrientationFirst
Face,presurprise,24,long,,,OrientationFirst
Face,presurprise,53,short,,,OrientationFirst
Face,presurprise,32,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,surprise,43,short,43.0,25.0,OrientationFirst
Face,postsurprise,42,short,24.0,42.0,OrientationFirst
Face,postsurprise,70,long,70.0,106.0,OrientationFirst
Face,postsurprise,23,long,23.0,41.0,OrientationFirst
Face,postsurprise,86,long,68.0,86.0,OrientationFirst
Face,presurprise,47,long,,,OrientationFirst
Face,presurprise,81,short,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,96,long,,,OrientationFirst
Face,presurprise,114,long,,,OrientationFirst
Face,presurprise,67,long,,,OrientationFirst
Face,presurprise,46,short,,,OrientationFirst
Face,presurprise,56,long,,,OrientationFirst
Face,presurprise,69,short,,,OrientationFirst
Face,presurprise,9,long,,,OrientationFirst
Face,presurprise,23,short,,,OrientationFirst
Face,presurprise,25,long,,,OrientationFirst
Face,presurprise,18,long,,,OrientationFirst
Face,presurprise,3,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,24,short,,,OrientationFirst
Face,presurprise,100,long,,,OrientationFirst
Face,presurprise,97,short,,,OrientationFirst
Face,presurprise,51,short,,,OrientationFirst
Face,presurprise,58,long,,,OrientationFirst
Face,presurprise,77,short,,,OrientationFirst
Face,presurprise,80,long,,,OrientationFirst
Face,presurprise,71,short,,,OrientationFirst
Face,presurprise,53,short,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,93,short,,,OrientationFirst
Face,presurprise,106,long,,,OrientationFirst
Face,presurprise,90,short,,,OrientationFirst
Face,presurprise,31,long,,,OrientationFirst
Face,presurprise,14,short,,,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,73,long,,,OrientationFirst
Face,presurprise,22,long,,,OrientationFirst
Face,presurprise,65,short,,,OrientationFirst
Face,presurprise,112,long,,,OrientationFirst
Face,presurprise,44,long,,,OrientationFirst
Face,presurprise,48,long,,,OrientationFirst
Face,presurprise,102,short,,,OrientationFirst
Face,presurprise,86,long,,,OrientationFirst
Face,presurprise,2,short,,,OrientationFirst
Face,presurprise,1,long,,,OrientationFirst
Face,presurprise,34,short,,,OrientationFirst
Face,surprise,39,short,39.0,21.0,OrientationFirst
Face,postsurprise,28,long,28.0,10.0,OrientationFirst
Face,postsurprise,76,long,76.0,58.0,OrientationFirst
Face,postsurprise,1,short,1.0,19.0,OrientationFirst
Face,postsurprise,74,short,56.0,74.0,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,94,short,,,OrientationFirst
Face,presurprise,59,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,97,long,,,OrientationFirst
Face,presurprise,52,long,,,OrientationFirst
Face,presurprise,68,short,,,OrientationFirst
Face,presurprise,31,short,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,5,long,,,OrientationFirst
Face,presurprise,24,long,,,OrientationFirst
Face,presurprise,66,long,,,OrientationFirst
Face,presurprise,10,long,,,OrientationFirst
Face,presurprise,56,short,,,OrientationFirst
Face,presurprise,81,long,,,OrientationFirst
Face,presurprise,44,short,,,OrientationFirst
Face,presurprise,83,short,,,OrientationFirst
Face,presurprise,22,long,,,OrientationFirst
Face,presurprise,27,long,,,OrientationFirst
Face,presurprise,88,short,,,OrientationFirst
Face,presurprise,90,long,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,54,long,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,73,short,,,OrientationFirst
Face,presurprise,89,long,,,OrientationFirst
Face,presurprise,93,long,,,OrientationFirst
Face,presurprise,105,short,,,OrientationFirst
Face,presurprise,47,short,,,OrientationFirst
Face,presurprise,64,long,,,OrientationFirst
Face,presurprise,60,long,,,OrientationFirst
Face,presurprise,17,short,,,OrientationFirst
Face,presurprise,3,short,,,OrientationFirst
Face,presurprise,112,long,,,OrientationFirst
Face,presurprise,103,long,,,OrientationFirst
Face,presurprise,30,short,,,OrientationFirst
Face,presurprise,98,short,,,OrientationFirst
Face,presurprise,37,short,,,OrientationFirst
Face,presurprise,25,short,,,OrientationFirst
Face,presurprise,14,short,,,OrientationFirst
Face,presurprise,15,long,,,OrientationFirst
Face,presurprise,38,long,,,OrientationFirst
Face,surprise,38,short,38.0,20.0,OrientationFirst
Face,postsurprise,29,short,29.0,47.0,OrientationFirst
Face,postsurprise,85,long,67.0,85.0,OrientationFirst
Face,postsurprise,19,long,1.0,19.0,OrientationFirst
Face,postsurprise,102,long,84.0,102.0,OrientationFirst
Face,presurprise,27,short,,,OrientationFirst
Face,presurprise,8,short,,,OrientationFirst
Face,presurprise,92,short,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,107,long,,,OrientationFirst
Face,presurprise,61,short,,,OrientationFirst
Face,presurprise,68,long,,,OrientationFirst
Face,presurprise,64,long,,,OrientationFirst
Face,presurprise,83,long,,,OrientationFirst
Face,presurprise,58,short,,,OrientationFirst
Face,presurprise,87,short,,,OrientationFirst
Face,presurprise,38,short,,,OrientationFirst
Face,presurprise,59,short,,,OrientationFirst
Face,presurprise,41,long,,,OrientationFirst
Face,presurprise,106,long,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,102,long,,,OrientationFirst
Face,presurprise,81,short,,,OrientationFirst
Face,presurprise,33,short,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,17,long,,,OrientationFirst
Face,presurprise,108,short,,,OrientationFirst
Face,presurprise,85,short,,,OrientationFirst
Face,presurprise,50,short,,,OrientationFirst
Face,presurprise,1,short,,,OrientationFirst
Face,presurprise,29,long,,,OrientationFirst
Face,presurprise,75,long,,,OrientationFirst
Face,presurprise,54,long,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,30,short,,,OrientationFirst
Face,presurprise,96,short,,,OrientationFirst
Face,presurprise,3,short,,,OrientationFirst
Face,presurprise,80,long,,,OrientationFirst
Face,presurprise,16,long,,,OrientationFirst
Face,presurprise,55,long,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,46,long,,,OrientationFirst
Face,presurprise,31,long,,,OrientationFirst
Face,presurprise,40,short,,,OrientationFirst
Face,presurprise,7,long,,,OrientationFirst
Face,presurprise,24,long,,,OrientationFirst
Face,surprise,48,short,30.0,48.0,OrientationFirst
Face,postsurprise,51,long,15.0,51.0,OrientationFirst
Face,postsurprise,82,short,82.0,64.0,OrientationFirst
Face,postsurprise,3,short,39.0,3.0,OrientationFirst
Face,postsurprise,103,long,103.0,67.0,OrientationFirst
Face,presurprise,82,long,,,OrientationFirst
Face,presurprise,74,long,,,OrientationFirst
Face,presurprise,22,long,,,OrientationFirst
Face,presurprise,20,short,,,OrientationFirst
Face,presurprise,12,short,,,OrientationFirst
Face,presurprise,16,short,,,OrientationFirst
Face,presurprise,39,short,,,OrientationFirst
Face,presurprise,1,short,,,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,55,long,,,OrientationFirst
Face,presurprise,65,short,,,OrientationFirst
Face,presurprise,98,short,,,OrientationFirst
Face,presurprise,85,short,,,OrientationFirst
Face,presurprise,114,long,,,OrientationFirst
Face,presurprise,72,short,,,OrientationFirst
Face,presurprise,7,long,,,OrientationFirst
Face,presurprise,31,long,,,OrientationFirst
Face,presurprise,45,long,,,OrientationFirst
Face,presurprise,66,long,,,OrientationFirst
Face,presurprise,53,long,,,OrientationFirst
Face,presurprise,46,short,,,OrientationFirst
Face,presurprise,75,short,,,OrientationFirst
Face,presurprise,89,long,,,OrientationFirst
Face,presurprise,60,short,,,OrientationFirst
Face,presurprise,58,long,,,OrientationFirst
Face,presurprise,8,long,,,OrientationFirst
Face,presurprise,41,long,,,OrientationFirst
Face,presurprise,29,short,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,6,long,,,OrientationFirst
Face,presurprise,99,short,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,presurprise,50,short,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,36,short,,,OrientationFirst
Face,presurprise,105,long,,,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,95,long,,,OrientationFirst
Face,presurprise,106,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,104,long,,,OrientationFirst
Face,presurprise,33,long,,,OrientationFirst
Face,surprise,42,short,24.0,42.0,OrientationFirst
Face,postsurprise,45,short,9.0,45.0,OrientationFirst
Face,postsurprise,85,short,85.0,103.0,OrientationFirst
Face,postsurprise,43,long,25.0,43.0,OrientationFirst
Face,postsurprise,76,long,58.0,76.0,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,101,long,,,OrientationFirst
Face,presurprise,34,short,,,OrientationFirst
Face,presurprise,58,long,,,OrientationFirst
Face,presurprise,46,long,,,OrientationFirst
Face,presurprise,112,long,,,OrientationFirst
Face,presurprise,57,long,,,OrientationFirst
Face,presurprise,104,short,,,OrientationFirst
Face,presurprise,50,long,,,OrientationFirst
Face,presurprise,18,long,,,OrientationFirst
Face,presurprise,62,short,,,OrientationFirst
Face,presurprise,67,long,,,OrientationFirst
Face,presurprise,77,short,,,OrientationFirst
Face,presurprise,13,short,,,OrientationFirst
Face,presurprise,29,short,,,OrientationFirst
Face,presurprise,38,short,,,OrientationFirst
Face,presurprise,90,long,,,OrientationFirst
Face,presurprise,99,long,,,OrientationFirst
Face,presurprise,19,long,,,OrientationFirst
Face,presurprise,114,long,,,OrientationFirst
Face,presurprise,102,long,,,OrientationFirst
Face,presurprise,55,short,,,OrientationFirst
Face,presurprise,21,short,,,OrientationFirst
Face,presurprise,7,short,,,OrientationFirst
Face,presurprise,42,short,,,OrientationFirst
Face,presurprise,110,short,,,OrientationFirst
Face,presurprise,78,short,,,OrientationFirst
Face,presurprise,82,long,,,OrientationFirst
Face,presurprise,92,short,,,OrientationFirst
Face,presurprise,23,long,,,OrientationFirst
Face,presurprise,48,short,,,OrientationFirst
Face,presurprise,89,long,,,OrientationFirst
Face,presurprise,70,short,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,33,long,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,105,short,,,OrientationFirst
Face,presurprise,8,long,,,OrientationFirst
Face,presurprise,17,long,,,OrientationFirst
Face,presurprise,40,long,,,OrientationFirst
Face,presurprise,9,short,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,surprise,44,short,26.0,44.0,OrientationFirst
Face,postsurprise,38,short,2.0,38.0,OrientationFirst
Face,postsurprise,61,long,61.0,97.0,OrientationFirst
Face,postsurprise,47,short,47.0,11.0,OrientationFirst
Face,postsurprise,73,short,91.0,73.0,OrientationFirst
Face,presurprise,29,long,,,OrientationFirst
Face,presurprise,81,long,,,OrientationFirst
Face,presurprise,91,long,,,OrientationFirst
Face,presurprise,30,long,,,OrientationFirst
Face,presurprise,32,short,,,OrientationFirst
Face,presurprise,87,long,,,OrientationFirst
Face,presurprise,57,long,,,OrientationFirst
Face,presurprise,41,short,,,OrientationFirst
Face,presurprise,104,long,,,OrientationFirst
Face,presurprise,15,short,,,OrientationFirst
Face,presurprise,2,long,,,OrientationFirst
Face,presurprise,13,long,,,OrientationFirst
Face,presurprise,3,short,,,OrientationFirst
Face,presurprise,4,short,,,OrientationFirst
Face,presurprise,80,short,,,OrientationFirst
Face,presurprise,78,short,,,OrientationFirst
Face,presurprise,53,long,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,presurprise,92,short,,,OrientationFirst
Face,presurprise,107,long,,,OrientationFirst
Face,presurprise,45,long,,,OrientationFirst
Face,presurprise,25,short,,,OrientationFirst
Face,presurprise,67,long,,,OrientationFirst
Face,presurprise,24,short,,,OrientationFirst
Face,presurprise,106,short,,,OrientationFirst
Face,presurprise,72,short,,,OrientationFirst
Face,presurprise,1,long,,,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,54,short,,,OrientationFirst
Face,presurprise,44,short,,,OrientationFirst
Face,presurprise,46,long,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,59,short,,,OrientationFirst
Face,presurprise,84,long,,,OrientationFirst
Face,presurprise,101,short,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,64,long,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,58,short,,,OrientationFirst
Face,presurprise,34,long,,,OrientationFirst
Face,surprise,41,short,5.0,41.0,OrientationFirst
Face,postsurprise,30,long,12.0,30.0,OrientationFirst
Face,postsurprise,93,long,93.0,75.0,OrientationFirst
Face,postsurprise,52,short,52.0,34.0,OrientationFirst
Face,postsurprise,108,short,108.0,90.0,OrientationFirst
Face,presurprise,32,long,,,OrientationFirst
Face,presurprise,100,long,,,OrientationFirst
Face,presurprise,65,long,,,OrientationFirst
Face,presurprise,2,short,,,OrientationFirst
Face,presurprise,68,short,,,OrientationFirst
Face,presurprise,75,short,,,OrientationFirst
Face,presurprise,114,long,,,OrientationFirst
Face,presurprise,26,short,,,OrientationFirst
Face,presurprise,37,long,,,OrientationFirst
Face,presurprise,51,long,,,OrientationFirst
Face,presurprise,89,long,,,OrientationFirst
Face,presurprise,34,long,,,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,9,short,,,OrientationFirst
Face,presurprise,98,long,,,OrientationFirst
Face,presurprise,99,short,,,OrientationFirst
Face,presurprise,60,long,,,OrientationFirst
Face,presurprise,46,long,,,OrientationFirst
Face,presurprise,13,short,,,OrientationFirst
Face,presurprise,103,short,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,91,short,,,OrientationFirst
Face,presurprise,70,short,,,OrientationFirst
Face,presurprise,22,short,,,OrientationFirst
Face,presurprise,7,long,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,54,short,,,OrientationFirst
Face,presurprise,72,short,,,OrientationFirst
Face,presurprise,97,long,,,OrientationFirst
Face,presurprise,42,short,,,OrientationFirst
Face,presurprise,87,long,,,OrientationFirst
Face,presurprise,77,short,,,OrientationFirst
Face,presurprise,48,short,,,OrientationFirst
Face,presurprise,17,long,,,OrientationFirst
Face,presurprise,76,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,66,long,,,OrientationFirst
Face,presurprise,5,long,,,OrientationFirst
Face,presurprise,113,short,,,OrientationFirst
Face,presurprise,74,long,,,OrientationFirst
Face,presurprise,29,long,,,OrientationFirst
Face,presurprise,21,short,,,OrientationFirst
Face,surprise,38,short,2.0,38.0,OrientationFirst
Face,postsurprise,53,long,35.0,53.0,OrientationFirst
Face,postsurprise,70,short,70.0,88.0,OrientationFirst
Face,postsurprise,1,short,37.0,1.0,OrientationFirst
Face,postsurprise,94,long,58.0,94.0,OrientationFirst
Face,presurprise,18,short,,,OrientationFirst
Face,presurprise,19,short,,,OrientationFirst
Face,presurprise,77,short,,,OrientationFirst
Face,presurprise,32,long,,,OrientationFirst
Face,presurprise,66,short,,,OrientationFirst
Face,presurprise,107,long,,,OrientationFirst
Face,presurprise,31,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,27,long,,,OrientationFirst
Face,presurprise,12,short,,,OrientationFirst
Face,presurprise,56,long,,,OrientationFirst
Face,presurprise,105,long,,,OrientationFirst
Face,presurprise,25,long,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,57,short,,,OrientationFirst
Face,presurprise,108,short,,,OrientationFirst
Face,presurprise,53,long,,,OrientationFirst
Face,presurprise,81,long,,,OrientationFirst
Face,presurprise,38,long,,,OrientationFirst
Face,presurprise,106,short,,,OrientationFirst
Face,presurprise,103,long,,,OrientationFirst
Face,presurprise,97,short,,,OrientationFirst
Face,presurprise,46,long,,,OrientationFirst
Face,presurprise,47,short,,,OrientationFirst
Face,presurprise,62,long,,,OrientationFirst
Face,presurprise,40,short,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,51,short,,,OrientationFirst
Face,presurprise,16,long,,,OrientationFirst
Face,presurprise,24,short,,,OrientationFirst
Face,presurprise,83,short,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,5,short,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,8,long,,,OrientationFirst
Face,presurprise,58,long,,,OrientationFirst
Face,presurprise,3,long,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,82,long,,,OrientationFirst
Face,presurprise,60,short,,,OrientationFirst
Face,presurprise,86,short,,,OrientationFirst
Face,presurprise,73,long,,,OrientationFirst
Face,surprise,48,long,48.0,12.0,OrientationFirst
Face,postsurprise,22,long,22.0,4.0,OrientationFirst
Face,postsurprise,95,short,95.0,77.0,OrientationFirst
Face,postsurprise,46,short,46.0,10.0,OrientationFirst
Face,postsurprise,96,short,96.0,60.0,OrientationFirst
Face,presurprise,62,long,,,OrientationFirst
Face,presurprise,41,long,,,OrientationFirst
Face,presurprise,81,long,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,33,long,,,OrientationFirst
Face,presurprise,114,long,,,OrientationFirst
Face,presurprise,75,long,,,OrientationFirst
Face,presurprise,36,long,,,OrientationFirst
Face,presurprise,10,short,,,OrientationFirst
Face,presurprise,66,short,,,OrientationFirst
Face,presurprise,22,long,,,OrientationFirst
Face,presurprise,39,long,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,42,short,,,OrientationFirst
Face,presurprise,29,short,,,OrientationFirst
Face,presurprise,90,short,,,OrientationFirst
Face,presurprise,14,long,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,presurprise,78,short,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,101,long,,,OrientationFirst
Face,presurprise,94,short,,,OrientationFirst
Face,presurprise,2,short,,,OrientationFirst
Face,presurprise,92,short,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,64,short,,,OrientationFirst
Face,presurprise,71,long,,,OrientationFirst
Face,presurprise,31,short,,,OrientationFirst
Face,presurprise,48,short,,,OrientationFirst
Face,presurprise,106,short,,,OrientationFirst
Face,presurprise,91,long,,,OrientationFirst
Face,presurprise,103,long,,,OrientationFirst
Face,presurprise,68,short,,,OrientationFirst
Face,presurprise,17,short,,,OrientationFirst
Face,presurprise,59,long,,,OrientationFirst
Face,presurprise,110,short,,,OrientationFirst
Face,presurprise,9,long,,,OrientationFirst
Face,presurprise,16,long,,,OrientationFirst
Face,presurprise,43,short,,,OrientationFirst
Face,presurprise,44,long,,,OrientationFirst
Face,presurprise,87,long,,,OrientationFirst
Face,presurprise,19,short,,,OrientationFirst
Face,surprise,41,long,41.0,5.0,OrientationFirst
Face,postsurprise,20,short,20.0,38.0,OrientationFirst
Face,postsurprise,69,long,87.0,69.0,OrientationFirst
Face,postsurprise,11,short,11.0,29.0,OrientationFirst
Face,postsurprise,93,short,57.0,93.0,OrientationFirst
Face,presurprise,38,short,,,OrientationFirst
Face,presurprise,27,long,,,OrientationFirst
Face,presurprise,112,short,,,OrientationFirst
Face,presurprise,97,long,,,OrientationFirst
Face,presurprise,109,long,,,OrientationFirst
Face,presurprise,23,short,,,OrientationFirst
Face,presurprise,110,long,,,OrientationFirst
Face,presurprise,98,short,,,OrientationFirst
Face,presurprise,99,long,,,OrientationFirst
Face,presurprise,71,long,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,76,short,,,OrientationFirst
Face,presurprise,64,short,,,OrientationFirst
Face,presurprise,16,long,,,OrientationFirst
Face,presurprise,66,short,,,OrientationFirst
Face,presurprise,57,long,,,OrientationFirst
Face,presurprise,101,short,,,OrientationFirst
Face,presurprise,111,short,,,OrientationFirst
Face,presurprise,29,short,,,OrientationFirst
Face,presurprise,91,long,,,OrientationFirst
Face,presurprise,15,long,,,OrientationFirst
Face,presurprise,49,long,,,OrientationFirst
Face,presurprise,77,long,,,OrientationFirst
Face,presurprise,86,long,,,OrientationFirst
Face,presurprise,37,long,,,OrientationFirst
Face,presurprise,60,long,,,OrientationFirst
Face,presurprise,87,short,,,OrientationFirst
Face,presurprise,12,short,,,OrientationFirst
Face,presurprise,106,short,,,OrientationFirst
Face,presurprise,54,short,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,74,long,,,OrientationFirst
Face,presurprise,17,short,,,OrientationFirst
Face,presurprise,10,short,,,OrientationFirst
Face,presurprise,32,long,,,OrientationFirst
Face,presurprise,21,long,,,OrientationFirst
Face,presurprise,67,short,,,OrientationFirst
Face,presurprise,26,short,,,OrientationFirst
Face,presurprise,90,short,,,OrientationFirst
Face,presurprise,43,long,,,OrientationFirst
Face,presurprise,40,short,,,OrientationFirst
Face,presurprise,6,long,,,OrientationFirst
Face,surprise,46,long,46.0,28.0,OrientationFirst
Face,postsurprise,44,long,44.0,8.0,OrientationFirst
Face,postsurprise,66,short,66.0,84.0,OrientationFirst
Face,postsurprise,3,long,39.0,3.0,OrientationFirst
Face,postsurprise,88,short,88.0,106.0,OrientationFirst
Face,presurprise,79,long,,,OrientationFirst
Face,presurprise,68,long,,,OrientationFirst
