category,orientation,task,stimulusFile,duration,trialType,targetCate,probeOrder,firstPostCategory,correctProbeLocation,orientationProbeLeftFile,orientationProbeRightFile,subjectID,stimIndex,probeLeftIndex,probeRightIndex
Object,Center,nonTarget,nonTargetObject2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,56,,
Face,Center,Target,TargetFace2Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,110,,
Object,Right,nonTarget,nonTargetObject11Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,101,,
Object,Center,nonTarget,nonTargetObject18Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,72,,
Face,Left,nonTarget,nonTargetFace16Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,34,,
Face,Right,nonTarget,nonTargetFace7Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,43,,
Object,Right,nonTarget,nonTargetObject5Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,95,,
Object,Left,nonTarget,nonTargetObject14Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,86,,
Face,Right,Target,TargetFace2Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,114,,
Face,Right,nonTarget,nonTargetFace11Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,47,,
Face,Center,nonTarget,nonTargetFace4Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,4,,
Face,Left,nonTarget,nonTargetFace13Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,31,,
Object,Center,nonTarget,nonTargetObject17Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,71,,
Object,Right,nonTarget,nonTargetObject4Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,94,,
Object,Left,nonTarget,nonTargetObject12Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,84,,
Face,Right,nonTarget,nonTargetFace18Right.png,short,surprise,Face,OrientationFirst,Face,left,nonTargetFace18Right.png,nonTargetFace18Left.png,0,54,54.0,18.0
Face,Right,nonTarget,nonTargetFace17Right.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace17Left.png,nonTargetFace17Right.png,0,53,35.0,53.0
Object,Left,nonTarget,nonTargetObject10Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject10Left.png,nonTargetObject10Center.png,0,82,82.0,64.0
Face,Center,nonTarget,nonTargetFace12Center.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace12Left.png,nonTargetFace12Center.png,0,12,30.0,12.0
Object,Right,nonTarget,nonTargetObject2Right.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject2Right.png,nonTargetObject2Left.png,0,92,92.0,74.0
Face,Center,nonTarget,nonTargetFace16Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,16,,
Face,Left,nonTarget,nonTargetFace5Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,23,,
Object,Right,nonTarget,nonTargetObject3Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,93,,
Face,Right,nonTarget,nonTargetFace3Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,39,,
Object,Right,nonTarget,nonTargetObject11Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,101,,
Face,Right,nonTarget,nonTargetFace9Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,45,,
Face,Right,Target,TargetFace2Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,114,,
Object,Left,nonTarget,nonTargetObject18Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,90,,
Face,Center,nonTarget,nonTargetFace15Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,15,,
Face,Left,nonTarget,nonTargetFace13Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,31,,
Object,Left,nonTarget,nonTargetObject14Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,86,,
Object,Right,nonTarget,nonTargetObject15Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,105,,
Face,Left,Target,TargetFace1Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,111,,
Face,Left,Target,TargetFace2Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,112,,
Face,Left,nonTarget,nonTargetFace17Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,35,,
Object,Center,nonTarget,nonTargetObject12Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,66,,
Object,Left,nonTarget,nonTargetObject1Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,73,,
Object,Left,nonTarget,nonTargetObject9Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,81,,
Face,Right,nonTarget,nonTargetFace7Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,43,,
Object,Left,nonTarget,nonTargetObject16Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,88,,
Face,Left,nonTarget,nonTargetFace10Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,28,,
Object,Right,nonTarget,nonTargetObject2Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,92,,
Face,Right,nonTarget,nonTargetFace4Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,40,,
Object,Center,nonTarget,nonTargetObject17Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,71,,
Face,Center,Target,TargetFace1Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,109,,
Face,Right,nonTarget,nonTargetFace2Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,38,,
Face,Right,Target,TargetFace1Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,113,,
Face,Center,nonTarget,nonTargetFace14Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,14,,
Face,Left,nonTarget,nonTargetFace6Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,24,,
Face,Center,nonTarget,nonTargetFace1Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,1,,
Object,Center,nonTarget,nonTargetObject7Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,61,,
Face,Center,Target,TargetFace2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,110,,
Face,Center,nonTarget,nonTargetFace18Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,18,,
Object,Left,nonTarget,nonTargetObject13Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,85,,
Object,Center,nonTarget,nonTargetObject4Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,58,,
Object,Center,nonTarget,nonTargetObject6Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,60,,
Object,Center,nonTarget,nonTargetObject5Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,59,,
Face,Left,nonTarget,nonTargetFace11Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,29,,
Face,Center,nonTarget,nonTargetFace8Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,8,,
Face,Right,nonTarget,nonTargetFace12Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,48,,
Object,Right,nonTarget,nonTargetObject8Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,1,98,,
Object,Right,nonTarget,nonTargetObject10Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,1,100,,
Face,Center,nonTarget,nonTargetFace1Center.png,short,surprise,Face,OrientationFirst,Face,left,nonTargetFace1Center.png,nonTargetFace1Right.png,1,37,37.0,19.0
Face,Right,nonTarget,nonTargetFace4Right.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace4Right.png,nonTargetFace4Center.png,1,40,40.0,4.0
Object,Left,nonTarget,nonTargetObject8Left.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject8Right.png,nonTargetObject8Left.png,1,80,98.0,80.0
Face,Left,nonTarget,nonTargetFace3Left.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace3Center.png,nonTargetFace3Left.png,1,21,3.0,21.0
Object,Left,nonTarget,nonTargetObject13Left.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject13Left.png,nonTargetObject13Center.png,1,85,85.0,67.0
Face,Center,Target,TargetFace1Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,109,,
Object,Right,nonTarget,nonTargetObject13Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,103,,
Face,Right,Target,TargetFace2Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,114,,
Face,Left,nonTarget,nonTargetFace18Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,36,,
Object,Left,nonTarget,nonTargetObject12Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,84,,
Face,Right,nonTarget,nonTargetFace13Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,49,,
Object,Right,nonTarget,nonTargetObject18Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,108,,
Face,Center,nonTarget,nonTargetFace10Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,10,,
Object,Center,nonTarget,nonTargetObject4Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,58,,
Face,Left,nonTarget,nonTargetFace1Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,19,,
Face,Center,nonTarget,nonTargetFace2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,2,,
Face,Right,Target,TargetFace1Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,113,,
Face,Right,nonTarget,nonTargetFace8Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,44,,
Face,Left,Target,TargetFace1Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,111,,
Face,Center,nonTarget,nonTargetFace7Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,7,,
Face,Center,nonTarget,nonTargetFace4Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,4,,
Face,Left,nonTarget,nonTargetFace9Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,27,,
Object,Left,nonTarget,nonTargetObject16Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,88,,
Object,Center,nonTarget,nonTargetObject11Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,65,,
Object,Left,nonTarget,nonTargetObject3Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,75,,
Face,Left,nonTarget,nonTargetFace3Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,21,,
Face,Center,nonTarget,nonTargetFace12Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,12,,
Object,Right,nonTarget,nonTargetObject2Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,92,,
Object,Right,nonTarget,nonTargetObject1Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,91,,
Face,Left,Target,TargetFace2Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,112,,
Object,Left,nonTarget,nonTargetObject14Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,86,,
Object,Right,nonTarget,nonTargetObject9Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,99,,
Object,Center,nonTarget,nonTargetObject17Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,71,,
Object,Center,nonTarget,nonTargetObject6Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,60,,
Face,Center,nonTarget,nonTargetFace16Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,16,,
Object,Left,nonTarget,nonTargetObject7Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,79,,
Object,Right,nonTarget,nonTargetObject5Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,95,,
Object,Left,nonTarget,nonTargetObject15Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,87,,
Object,Center,nonTarget,nonTargetObject8Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,62,,
Object,Center,nonTarget,nonTargetObject10Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,64,,
Face,Right,nonTarget,nonTargetFace11Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,47,,
Face,Right,nonTarget,nonTargetFace5Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,41,,
Face,Right,nonTarget,nonTargetFace15Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,51,,
Face,Left,nonTarget,nonTargetFace6Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,24,,
Face,Right,nonTarget,nonTargetFace17Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,53,,
Face,Left,nonTarget,nonTargetFace14Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,2,32,,
Face,Center,Target,TargetFace2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,2,110,,
Face,Left,nonTarget,nonTargetFace7Left.png,short,surprise,Face,OrientationFirst,Face,left,nonTargetFace7Left.png,nonTargetFace7Right.png,2,43,43.0,25.0
Face,Right,nonTarget,nonTargetFace6Right.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace6Left.png,nonTargetFace6Right.png,2,42,24.0,42.0
Object,Center,nonTarget,nonTargetObject16Center.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject16Center.png,nonTargetObject16Right.png,2,70,70.0,106.0
Face,Left,nonTarget,nonTargetFace5Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace5Left.png,nonTargetFace5Right.png,2,23,23.0,41.0
Object,Left,nonTarget,nonTargetObject14Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject14Center.png,nonTargetObject14Left.png,2,86,68.0,86.0
Face,Right,nonTarget,nonTargetFace11Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,47,,
Object,Left,nonTarget,nonTargetObject9Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,81,,
Face,Center,Target,TargetFace1Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,109,,
Object,Right,nonTarget,nonTargetObject6Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,96,,
Face,Right,Target,TargetFace2Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,114,,
Object,Center,nonTarget,nonTargetObject13Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,67,,
Face,Right,nonTarget,nonTargetFace10Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,46,,
Object,Center,nonTarget,nonTargetObject2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,56,,
Object,Center,nonTarget,nonTargetObject15Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,69,,
Face,Center,nonTarget,nonTargetFace9Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,9,,
Face,Left,nonTarget,nonTargetFace5Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,23,,
Face,Left,nonTarget,nonTargetFace7Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,25,,
Face,Center,nonTarget,nonTargetFace18Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,18,,
Face,Center,nonTarget,nonTargetFace3Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,3,,
Face,Center,Target,TargetFace2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,110,,
Face,Left,nonTarget,nonTargetFace6Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,24,,
Object,Right,nonTarget,nonTargetObject10Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,100,,
Object,Right,nonTarget,nonTargetObject7Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,97,,
Face,Right,nonTarget,nonTargetFace15Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,51,,
Object,Center,nonTarget,nonTargetObject4Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,58,,
Object,Left,nonTarget,nonTargetObject5Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,77,,
Object,Left,nonTarget,nonTargetObject8Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,80,,
Object,Center,nonTarget,nonTargetObject17Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,71,,
Face,Right,nonTarget,nonTargetFace17Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,53,,
Face,Left,Target,TargetFace1Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,111,,
Object,Right,nonTarget,nonTargetObject3Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,93,,
Object,Right,nonTarget,nonTargetObject16Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,106,,
Object,Left,nonTarget,nonTargetObject18Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,90,,
Face,Left,nonTarget,nonTargetFace13Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,31,,
Face,Center,nonTarget,nonTargetFace14Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,14,,
Face,Right,Target,TargetFace1Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,113,,
Object,Left,nonTarget,nonTargetObject1Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,73,,
Face,Left,nonTarget,nonTargetFace4Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,22,,
Object,Center,nonTarget,nonTargetObject11Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,65,,
Face,Left,Target,TargetFace2Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,112,,
Face,Right,nonTarget,nonTargetFace8Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,44,,
Face,Right,nonTarget,nonTargetFace12Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,48,,
Object,Right,nonTarget,nonTargetObject12Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,102,,
Object,Left,nonTarget,nonTargetObject14Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,86,,
Face,Center,nonTarget,nonTargetFace2Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,2,,
Face,Center,nonTarget,nonTargetFace1Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,3,1,,
Face,Left,nonTarget,nonTargetFace16Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,3,34,,
Face,Left,nonTarget,nonTargetFace3Left.png,short,surprise,Face,OrientationFirst,Face,left,nonTargetFace3Left.png,nonTargetFace3Center.png,3,39,39.0,21.0
Face,Left,nonTarget,nonTargetFace10Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace10Left.png,nonTargetFace10Center.png,3,28,28.0,10.0
Object,Left,nonTarget,nonTargetObject4Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject4Left.png,nonTargetObject4Center.png,3,76,76.0,58.0
Face,Center,nonTarget,nonTargetFace1Center.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace1Center.png,nonTargetFace1Left.png,3,1,1.0,19.0
Object,Left,nonTarget,nonTargetObject2Left.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject2Center.png,nonTargetObject2Left.png,3,74,56.0,74.0
Face,Center,Target,TargetFace1Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,109,,
Object,Right,nonTarget,nonTargetObject4Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,94,,
Object,Center,nonTarget,nonTargetObject5Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,59,,
Face,Center,Target,TargetFace2Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,110,,
Object,Right,nonTarget,nonTargetObject7Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,97,,
Face,Right,nonTarget,nonTargetFace16Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,52,,
Object,Center,nonTarget,nonTargetObject14Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,68,,
Face,Left,nonTarget,nonTargetFace13Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,31,,
Face,Right,Target,TargetFace1Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,113,,
Face,Center,nonTarget,nonTargetFace5Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,5,,
Face,Left,nonTarget,nonTargetFace6Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,24,,
Object,Center,nonTarget,nonTargetObject12Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,66,,
Face,Center,nonTarget,nonTargetFace10Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,10,,
Object,Center,nonTarget,nonTargetObject2Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,56,,
Object,Left,nonTarget,nonTargetObject9Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,81,,
Face,Right,nonTarget,nonTargetFace8Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,44,,
Object,Left,nonTarget,nonTargetObject11Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,83,,
Face,Left,nonTarget,nonTargetFace4Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,22,,
Face,Left,nonTarget,nonTargetFace9Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,27,,
Object,Left,nonTarget,nonTargetObject16Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,88,,
Object,Left,nonTarget,nonTargetObject18Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,90,,
Face,Right,Target,TargetFace2Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,114,,
Face,Right,nonTarget,nonTargetFace18Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,54,,
Face,Left,Target,TargetFace1Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,111,,
Object,Left,nonTarget,nonTargetObject1Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,73,,
Object,Left,nonTarget,nonTargetObject17Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,89,,
Object,Right,nonTarget,nonTargetObject3Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,93,,
Object,Right,nonTarget,nonTargetObject15Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,105,,
Face,Right,nonTarget,nonTargetFace11Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,47,,
Object,Center,nonTarget,nonTargetObject10Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,64,,
Object,Center,nonTarget,nonTargetObject6Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,60,,
Face,Center,nonTarget,nonTargetFace17Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,17,,
Face,Center,nonTarget,nonTargetFace3Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,3,,
Face,Left,Target,TargetFace2Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,112,,
Object,Right,nonTarget,nonTargetObject13Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,103,,
Face,Left,nonTarget,nonTargetFace12Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,30,,
Object,Right,nonTarget,nonTargetObject8Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,98,,
Face,Right,nonTarget,nonTargetFace1Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,37,,
Face,Left,nonTarget,nonTargetFace7Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,25,,
Face,Center,nonTarget,nonTargetFace14Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,4,14,,
Face,Center,nonTarget,nonTargetFace15Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,15,,
Face,Right,nonTarget,nonTargetFace2Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,4,38,,
Face,Center,nonTarget,nonTargetFace2Center.png,short,surprise,Face,OrientationFirst,Face,left,nonTargetFace2Center.png,nonTargetFace2Right.png,4,38,38.0,20.0
Face,Left,nonTarget,nonTargetFace11Left.png,short,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace11Left.png,nonTargetFace11Right.png,4,29,29.0,47.0
Object,Left,nonTarget,nonTargetObject13Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject13Center.png,nonTargetObject13Left.png,4,85,67.0,85.0
Face,Left,nonTarget,nonTargetFace1Left.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetFace1Center.png,nonTargetFace1Left.png,4,19,1.0,19.0
Object,Right,nonTarget,nonTargetObject12Right.png,long,postsurprise,Face,OrientationFirst,Face,left,nonTargetObject12Left.png,nonTargetObject12Right.png,4,102,84.0,102.0
