targetCate,category,duration,orientation,task,stimulusFile,subjectID,stimIndex
Face,Object,long,Center,nonTarget,nonTargetObject1Center-Practice.png,4,55
Face,Face,long,Center,nonTarget,nonTargetFace12Center-Practice.png,4,12
Face,Object,short,Center,nonTarget,nonTargetObject14Center-Practice.png,4,68
Face,Object,short,Left,nonTarget,nonTargetObject6Left-Practice.png,4,78
Face,Face,short,Center,Target,targetFace2Center-Practice.png,4,110
Face,Face,long,Center,nonTarget,nonTargetFace7Center-Practice.png,4,7
Face,Face,long,Right,nonTarget,nonTargetFace11Right-Practice.png,4,47
Face,Object,short,Center,nonTarget,nonTargetObject17Center-Practice.png,5,71
Face,Object,short,Right,nonTarget,nonTargetObject9Right-Practice.png,5,99
Face,Object,long,Right,nonTarget,nonTargetObject8Right-Practice.png,5,98
Face,Face,short,Right,nonTarget,nonTargetFace10Right-Practice.png,5,46
Face,Object,long,Right,nonTarget,nonTargetObject13Right-Practice.png,5,103
Face,Face,long,Left,Target,targetFace1Left-Practice.png,5,111
Face,Face,long,Left,nonTarget,nonTargetFace18Left-Practice.png,5,36
Face,Face,long,Center,nonTarget,nonTargetFace8Center-Practice.png,5,8
Face,Face,long,Left,nonTarget,nonTargetFace17Left-Practice.png,5,35
Face,Object,short,Right,nonTarget,nonTargetObject7Right-Practice.png,5,97
Face,Face,long,Center,Target,targetFace2Center-Practice.png,5,110
Face,Face,short,Right,nonTarget,nonTargetFace17Right-Practice.png,5,53
Face,Object,short,Center,nonTarget,nonTargetObject7Center-Practice.png,5,61
Face,Face,short,Left,nonTarget,nonTargetFace16Left-Practice.png,5,34
Face,Face,long,Right,nonTarget,nonTargetFace4Right-Practice.png,6,40
Face,Object,long,Left,nonTarget,nonTargetObject5Left-Practice.png,6,77
Face,Object,short,Center,nonTarget,nonTargetObject18Center-Practice.png,6,72
Face,Face,long,Left,nonTarget,nonTargetFace18Left-Practice.png,6,36
Face,Object,long,Right,nonTarget,nonTargetObject18Right-Practice.png,6,108
Face,Object,short,Center,nonTarget,nonTargetObject13Center-Practice.png,6,67
Face,Face,short,Left,nonTarget,nonTargetFace12Left-Practice.png,6,30
Face,Face,short,Center,nonTarget,nonTargetFace13Center-Practice.png,6,13
Face,Object,short,Right,nonTarget,nonTargetObject16Right-Practice.png,6,106
Face,Object,long,Left,nonTarget,nonTargetObject4Left-Practice.png,6,76
Face,Face,short,Right,Target,targetFace1Right-Practice.png,6,113
Face,Face,long,Left,nonTarget,nonTargetFace8Left-Practice.png,6,26
Face,Face,short,Left,Target,targetFace2Left-Practice.png,6,112
Face,Face,short,Right,nonTarget,nonTargetFace3Right-Practice.png,6,39
Face,Face,short,Left,Target,targetFace2Left-Practice.png,7,112
Face,Object,short,Center,nonTarget,nonTargetObject4Center-Practice.png,7,58
Face,Face,long,Left,nonTarget,nonTargetFace9Left-Practice.png,7,27
Face,Face,long,Center,nonTarget,nonTargetFace12Center-Practice.png,7,12
Face,Object,short,Left,nonTarget,nonTargetObject8Left-Practice.png,7,80
Face,Object,short,Left,nonTarget,nonTargetObject7Left-Practice.png,7,79
Face,Face,long,Left,Target,targetFace1Left-Practice.png,7,111
Face,Object,long,Right,nonTarget,nonTargetObject8Right-Practice.png,7,98
Face,Face,long,Left,nonTarget,nonTargetFace16Left-Practice.png,7,34
Face,Face,short,Right,nonTarget,nonTargetFace11Right-Practice.png,7,47
Face,Object,short,Right,nonTarget,nonTargetObject5Right-Practice.png,7,95
Face,Face,long,Left,nonTarget,nonTargetFace3Left-Practice.png,7,21
Face,Object,short,Right,nonTarget,nonTargetObject11Right-Practice.png,7,101
Face,Face,long,Center,nonTarget,nonTargetFace17Center-Practice.png,7,17
Face,Face,short,Center,nonTarget,nonTargetFace1Center-Practice.png,8,1
Face,Face,long,Left,nonTarget,nonTargetFace1Left-Practice.png,8,19
Face,Object,short,Right,nonTarget,nonTargetObject1Right-Practice.png,8,91
Face,Object,short,Right,nonTarget,nonTargetObject17Right-Practice.png,8,107
Face,Face,long,Left,Target,targetFace2Left-Practice.png,8,112
Face,Face,short,Center,nonTarget,nonTargetFace16Center-Practice.png,8,16
Face,Object,short,Center,nonTarget,nonTargetObject15Center-Practice.png,8,69
Face,Object,short,Right,nonTarget,nonTargetObject5Right-Practice.png,8,95
Face,Face,long,Right,Target,targetFace1Right-Practice.png,8,113
Face,Object,long,Left,nonTarget,nonTargetObject5Left-Practice.png,8,77
Face,Face,long,Right,nonTarget,nonTargetFace9Right-Practice.png,8,45
Face,Object,short,Left,nonTarget,nonTargetObject6Left-Practice.png,8,78
Face,Face,long,Right,nonTarget,nonTargetFace6Right-Practice.png,8,42
Face,Face,short,Right,nonTarget,nonTargetFace7Right-Practice.png,8,43
Face,Face,long,Right,nonTarget,nonTargetFace4Right-Practice.png,9,40
Face,Object,long,Center,nonTarget,nonTargetObject5Center-Practice.png,9,59
Face,Object,long,Left,nonTarget,nonTargetObject3Left-Practice.png,9,75
Face,Face,short,Right,nonTarget,nonTargetFace16Right-Practice.png,9,52
Face,Object,short,Left,nonTarget,nonTargetObject6Left-Practice.png,9,78
Face,Object,short,Center,nonTarget,nonTargetObject11Center-Practice.png,9,65
Face,Face,short,Left,nonTarget,nonTargetFace3Left-Practice.png,9,21
Face,Face,short,Center,Target,targetFace1Center-Practice.png,9,109
Face,Face,long,Center,nonTarget,nonTargetFace18Center-Practice.png,9,18
Face,Object,short,Center,nonTarget,nonTargetObject6Center-Practice.png,9,60
Face,Face,long,Left,nonTarget,nonTargetFace5Left-Practice.png,9,23
Face,Face,long,Left,Target,targetFace2Left-Practice.png,9,112
Face,Face,long,Center,nonTarget,nonTargetFace13Center-Practice.png,9,13
Face,Object,long,Left,nonTarget,nonTargetObject9Left-Practice.png,9,81
Face,Object,long,Left,nonTarget,nonTargetObject16Left-Practice.png,10,88
Face,Object,short,Center,nonTarget,nonTargetObject14Center-Practice.png,10,68
Face,Face,short,Right,Target,targetFace2Right-Practice.png,10,114
Face,Face,long,Center,nonTarget,nonTargetFace13Center-Practice.png,10,13
Face,Face,short,Right,nonTarget,nonTargetFace9Right-Practice.png,10,45
Face,Object,long,Left,nonTarget,nonTargetObject12Left-Practice.png,10,84
Face,Face,short,Right,nonTarget,nonTargetFace17Right-Practice.png,10,53
Face,Object,short,Right,nonTarget,nonTargetObject18Right-Practice.png,10,108
Face,Object,short,Right,nonTarget,nonTargetObject9Right-Practice.png,10,99
Face,Face,long,Left,nonTarget,nonTargetFace8Left-Practice.png,10,26
Face,Face,short,Right,Target,targetFace1Right-Practice.png,10,113
Face,Object,short,Left,nonTarget,nonTargetObject3Left-Practice.png,10,75
Face,Face,long,Right,nonTarget,nonTargetFace6Right-Practice.png,10,42
Face,Face,short,Center,nonTarget,nonTargetFace15Center-Practice.png,10,15
Face,Object,short,Right,nonTarget,nonTargetObject6Right-Practice.png,11,96
Face,Face,long,Right,nonTarget,nonTargetFace11Right-Practice.png,11,47
Face,Object,long,Center,nonTarget,nonTargetObject3Center-Practice.png,11,57
Face,Object,long,Center,nonTarget,nonTargetObject14Center-Practice.png,11,68
Face,Object,short,Right,nonTarget,nonTargetObject15Right-Practice.png,11,105
Face,Object,short,Right,nonTarget,nonTargetObject17Right-Practice.png,11,107
Face,Object,short,Right,nonTarget,nonTargetObject14Right-Practice.png,11,104
Face,Face,short,Right,nonTarget,nonTargetFace2Right-Practice.png,11,38
Face,Face,long,Center,Target,targetFace1Center-Practice.png,11,109
Face,Face,long,Left,nonTarget,nonTargetFace11Left-Practice.png,11,29
Face,Face,long,Left,Target,targetFace2Left-Practice.png,11,112
Face,Face,long,Left,nonTarget,nonTargetFace8Left-Practice.png,11,26
Face,Face,long,Center,nonTarget,nonTargetFace7Center-Practice.png,11,7
Face,Face,long,Center,nonTarget,nonTargetFace5Center-Practice.png,11,5
Face,Face,long,Left,nonTarget,nonTargetFace17Left-Practice.png,12,35
Face,Object,long,Right,nonTarget,nonTargetObject4Right-Practice.png,12,94
Face,Object,short,Left,nonTarget,nonTargetObject2Left-Practice.png,12,74
Face,Face,short,Left,nonTarget,nonTargetFace2Left-Practice.png,12,20
Face,Face,short,Right,Target,targetFace2Right-Practice.png,12,114
Face,Face,short,Left,nonTarget,nonTargetFace4Left-Practice.png,12,22
Face,Face,short,Left,Target,targetFace1Left-Practice.png,12,111
Face,Object,long,Right,nonTarget,nonTargetObject14Right-Practice.png,12,104
Face,Object,long,Right,nonTarget,nonTargetObject16Right-Practice.png,12,106
Face,Object,long,Left,nonTarget,nonTargetObject17Left-Practice.png,12,89
Face,Face,short,Right,nonTarget,nonTargetFace7Right-Practice.png,12,43
Face,Face,short,Left,nonTarget,nonTargetFace9Left-Practice.png,12,27
Face,Object,long,Right,nonTarget,nonTargetObject18Right-Practice.png,12,108
Face,Face,short,Center,nonTarget,nonTargetFace7Center-Practice.png,12,7
Face,Object,long,Right,nonTarget,nonTargetObject10Right-Practice.png,13,100
Face,Object,long,Right,nonTarget,nonTargetObject18Right-Practice.png,13,108
Face,Face,long,Left,Target,targetFace2Left-Practice.png,13,112
Face,Face,short,Left,nonTarget,nonTargetFace10Left-Practice.png,13,28
Face,Face,short,Left,nonTarget,nonTargetFace7Left-Practice.png,13,25
Face,Face,short,Left,nonTarget,nonTargetFace17Left-Practice.png,13,35
Face,Object,short,Left,nonTarget,nonTargetObject3Left-Practice.png,13,75
Face,Face,short,Center,nonTarget,nonTargetFace14Center-Practice.png,13,14
Face,Object,short,Right,nonTarget,nonTargetObject4Right-Practice.png,13,94
Face,Object,long,Right,nonTarget,nonTargetObject13Right-Practice.png,13,103
Face,Face,short,Left,nonTarget,nonTargetFace18Left-Practice.png,13,36
Face,Face,long,Right,nonTarget,nonTargetFace11Right-Practice.png,13,47
Face,Object,long,Right,nonTarget,nonTargetObject7Right-Practice.png,13,97
Face,Face,long,Left,Target,targetFace1Left-Practice.png,13,111
Face,Object,short,Left,nonTarget,nonTargetObject6Left-Practice.png,14,78
Face,Face,short,Center,nonTarget,nonTargetFace7Center-Practice.png,14,7
Face,Object,short,Right,nonTarget,nonTargetObject13Right-Practice.png,14,103
Face,Object,long,Right,nonTarget,nonTargetObject4Right-Practice.png,14,94
Face,Face,long,Left,nonTarget,nonTargetFace13Left-Practice.png,14,31
Face,Object,long,Center,nonTarget,nonTargetObject6Center-Practice.png,14,60
Face,Face,long,Center,nonTarget,nonTargetFace8Center-Practice.png,14,8
Face,Object,short,Left,nonTarget,nonTargetObject15Left-Practice.png,14,87
Face,Face,short,Center,nonTarget,nonTargetFace2Center-Practice.png,14,2
Face,Object,short,Center,nonTarget,nonTargetObject12Center-Practice.png,14,66
Face,Face,short,Left,nonTarget,nonTargetFace14Left-Practice.png,14,32
Face,Face,short,Right,Target,targetFace1Right-Practice.png,14,113
Face,Face,short,Right,nonTarget,nonTargetFace5Right-Practice.png,14,41
Face,Face,short,Center,Target,targetFace2Center-Practice.png,14,110
Face,Face,short,Left,Target,targetFace1Left-Practice.png,15,111
Face,Object,long,Center,nonTarget,nonTargetObject13Center-Practice.png,15,67
Face,Object,long,Right,nonTarget,nonTargetObject13Right-Practice.png,15,103
Face,Face,short,Right,nonTarget,nonTargetFace5Right-Practice.png,15,41
Face,Object,long,Left,nonTarget,nonTargetObject13Left-Practice.png,15,85
Face,Face,short,Left,Target,targetFace2Left-Practice.png,15,112
Face,Face,long,Left,nonTarget,nonTargetFace7Left-Practice.png,15,25
Face,Face,long,Right,nonTarget,nonTargetFace17Right-Practice.png,15,53
Face,Object,long,Center,nonTarget,nonTargetObject7Center-Practice.png,15,61
Face,Object,long,Right,nonTarget,nonTargetObject5Right-Practice.png,15,95
Face,Face,short,Right,nonTarget,nonTargetFace9Right-Practice.png,15,45
Face,Face,short,Left,nonTarget,nonTargetFace15Left-Practice.png,15,33
Face,Face,long,Center,nonTarget,nonTargetFace12Center-Practice.png,15,12
Face,Object,short,Right,nonTarget,nonTargetObject15Right-Practice.png,15,105
Face,Face,long,Center,nonTarget,nonTargetFace5Center-Practice.png,16,5
Face,Face,short,Center,nonTarget,nonTargetFace6Center-Practice.png,16,6
Face,Object,long,Right,nonTarget,nonTargetObject3Right-Practice.png,16,93
Face,Object,short,Center,nonTarget,nonTargetObject18Center-Practice.png,16,72
Face,Object,short,Left,nonTarget,nonTargetObject2Left-Practice.png,16,74
Face,Face,long,Right,nonTarget,nonTargetFace17Right-Practice.png,16,53
Face,Object,long,Right,nonTarget,nonTargetObject1Right-Practice.png,16,91
Face,Face,long,Left,nonTarget,nonTargetFace8Left-Practice.png,16,26
Face,Object,short,Center,nonTarget,nonTargetObject1Center-Practice.png,16,55
Face,Face,short,Left,Target,targetFace2Left-Practice.png,16,112
Face,Object,long,Right,nonTarget,nonTargetObject4Right-Practice.png,16,94
Face,Face,short,Center,Target,targetFace1Center-Practice.png,16,109
Face,Face,long,Center,nonTarget,nonTargetFace15Center-Practice.png,16,15
Face,Face,long,Left,nonTarget,nonTargetFace14Left-Practice.png,16,32
Face,Face,long,Center,nonTarget,nonTargetFace9Center-Practice.png,17,9
Face,Face,long,Center,Target,targetFace1Center-Practice.png,17,109
Face,Face,long,Right,nonTarget,nonTargetFace1Right-Practice.png,17,37
Face,Object,short,Center,nonTarget,nonTargetObject14Center-Practice.png,17,68
Face,Object,long,Center,nonTarget,nonTargetObject15Center-Practice.png,17,69
Face,Face,long,Left,nonTarget,nonTargetFace4Left-Practice.png,17,22
Face,Object,short,Center,nonTarget,nonTargetObject2Center-Practice.png,17,56
Face,Face,long,Center,nonTarget,nonTargetFace2Center-Practice.png,17,2
Face,Face,short,Left,nonTarget,nonTargetFace15Left-Practice.png,17,33
Face,Object,long,Left,nonTarget,nonTargetObject1Left-Practice.png,17,73
Face,Object,short,Left,nonTarget,nonTargetObject15Left-Practice.png,17,87
Face,Face,long,Center,nonTarget,nonTargetFace15Center-Practice.png,17,15
Face,Object,long,Left,nonTarget,nonTargetObject9Left-Practice.png,17,81
Face,Face,short,Right,Target,targetFace2Right-Practice.png,17,114
Face,Face,short,Left,nonTarget,nonTargetFace14Left-Practice.png,18,32
Face,Object,long,Center,nonTarget,nonTargetObject16Center-Practice.png,18,70
Face,Object,long,Left,nonTarget,nonTargetObject6Left-Practice.png,18,78
Face,Object,short,Center,nonTarget,nonTargetObject10Center-Practice.png,18,64
Face,Face,short,Center,nonTarget,nonTargetFace9Center-Practice.png,18,9
Face,Face,short,Right,nonTarget,nonTargetFace18Right-Practice.png,18,54
Face,Face,long,Left,nonTarget,nonTargetFace18Left-Practice.png,18,36
Face,Object,long,Left,nonTarget,nonTargetObject13Left-Practice.png,18,85
Face,Face,long,Left,Target,targetFace2Left-Practice.png,18,112
Face,Face,short,Right,Target,targetFace1Right-Practice.png,18,113
Face,Face,short,Center,nonTarget,nonTargetFace17Center-Practice.png,18,17
Face,Object,long,Right,nonTarget,nonTargetObject4Right-Practice.png,18,94
Face,Object,long,Right,nonTarget,nonTargetObject17Right-Practice.png,18,107
Face,Face,long,Center,nonTarget,nonTargetFace10Center-Practice.png,18,10
Face,Object,short,Center,nonTarget,nonTargetObject5Center-Practice.png,19,59
Face,Face,long,Center,nonTarget,nonTargetFace18Center-Practice.png,19,18
Face,Object,long,Center,nonTarget,nonTargetObject11Center-Practice.png,19,65
Face,Face,short,Right,Target,targetFace2Right-Practice.png,19,114
Face,Object,long,Left,nonTarget,nonTargetObject14Left-Practice.png,19,86
Face,Face,long,Center,Target,targetFace1Center-Practice.png,19,109
Face,Face,short,Left,nonTarget,nonTargetFace11Left-Practice.png,19,29
Face,Face,long,Right,nonTarget,nonTargetFace11Right-Practice.png,19,47
Face,Face,long,Right,nonTarget,nonTargetFace9Right-Practice.png,19,45
Face,Face,long,Right,nonTarget,nonTargetFace14Right-Practice.png,19,50
Face,Face,short,Center,nonTarget,nonTargetFace16Center-Practice.png,19,16
Face,Object,long,Right,nonTarget,nonTargetObject18Right-Practice.png,19,108
Face,Object,long,Left,nonTarget,nonTargetObject17Left-Practice.png,19,89
Face,Object,short,Right,nonTarget,nonTargetObject4Right-Practice.png,19,94
Face,Face,long,Right,Target,targetFace1Right-Practice.png,20,113
Face,Object,short,Right,nonTarget,nonTargetObject4Right-Practice.png,20,94
Face,Face,long,Left,nonTarget,nonTargetFace7Left-Practice.png,20,25
Face,Face,long,Left,nonTarget,nonTargetFace2Left-Practice.png,20,20
Face,Face,short,Center,nonTarget,nonTargetFace15Center-Practice.png,20,15
Face,Face,short,Center,nonTarget,nonTargetFace2Center-Practice.png,20,2
Face,Face,short,Right,nonTarget,nonTargetFace18Right-Practice.png,20,54
Face,Object,short,Right,nonTarget,nonTargetObject13Right-Practice.png,20,103
Face,Object,long,Left,nonTarget,nonTargetObject8Left-Practice.png,20,80
Face,Face,short,Center,nonTarget,nonTargetFace7Center-Practice.png,20,7
Face,Object,short,Right,nonTarget,nonTargetObject17Right-Practice.png,20,107
Face,Face,long,Left,Target,targetFace2Left-Practice.png,20,112
Face,Object,short,Left,nonTarget,nonTargetObject16Left-Practice.png,20,88
Face,Object,short,Center,nonTarget,nonTargetObject6Center-Practice.png,20,60
Face,Face,long,Center,nonTarget,nonTargetFace6Center-Practice.png,21,6
Face,Face,short,Left,nonTarget,nonTargetFace12Left-Practice.png,21,30
Face,Object,short,Left,nonTarget,nonTargetObject5Left-Practice.png,21,77
Face,Object,long,Right,nonTarget,nonTargetObject7Right-Practice.png,21,97
Face,Face,short,Center,nonTarget,nonTargetFace13Center-Practice.png,21,13
Face,Face,short,Center,nonTarget,nonTargetFace11Center-Practice.png,21,11
Face,Face,short,Left,nonTarget,nonTargetFace7Left-Practice.png,21,25
Face,Face,long,Center,Target,targetFace2Center-Practice.png,21,110
Face,Face,long,Center,Target,targetFace1Center-Practice.png,21,109
Face,Object,long,Left,nonTarget,nonTargetObject11Left-Practice.png,21,83
Face,Face,long,Left,nonTarget,nonTargetFace8Left-Practice.png,21,26
Face,Object,long,Left,nonTarget,nonTargetObject18Left-Practice.png,21,90
Face,Object,long,Center,nonTarget,nonTargetObject11Center-Practice.png,21,65
Face,Object,short,Left,nonTarget,nonTargetObject1Left-Practice.png,21,73
Face,Face,short,Right,nonTarget,nonTargetFace16Right-Practice.png,22,52
Face,Face,long,Center,nonTarget,nonTargetFace5Center-Practice.png,22,5
Face,Face,long,Center,nonTarget,nonTargetFace18Center-Practice.png,22,18
Face,Face,long,Right,nonTarget,nonTargetFace15Right-Practice.png,22,51
Face,Face,short,Left,Target,targetFace2Left-Practice.png,22,112
Face,Object,short,Left,nonTarget,nonTargetObject2Left-Practice.png,22,74
Face,Object,short,Center,nonTarget,nonTargetObject8Center-Practice.png,22,62
Face,Object,long,Center,nonTarget,nonTargetObject14Center-Practice.png,22,68
Face,Face,long,Left,nonTarget,nonTargetFace17Left-Practice.png,22,35
Face,Object,short,Right,nonTarget,nonTargetObject6Right-Practice.png,22,96
Face,Face,short,Right,Target,targetFace1Right-Practice.png,22,113
Face,Object,short,Center,nonTarget,nonTargetObject11Center-Practice.png,22,65
Face,Face,short,Left,nonTarget,nonTargetFace9Left-Practice.png,22,27
Face,Object,long,Center,nonTarget,nonTargetObject12Center-Practice.png,22,66
Face,Face,long,Left,nonTarget,nonTargetFace9Left-Practice.png,23,27
Face,Face,long,Right,nonTarget,nonTargetFace1Right-Practice.png,23,37
Face,Face,short,Right,nonTarget,nonTargetFace7Right-Practice.png,23,43
Face,Object,short,Right,nonTarget,nonTargetObject11Right-Practice.png,23,101
Face,Face,short,Left,Target,targetFace2Left-Practice.png,23,112
Face,Object,short,Left,nonTarget,nonTargetObject4Left-Practice.png,23,76
Face,Face,short,Center,nonTarget,nonTargetFace5Center-Practice.png,23,5
Face,Face,short,Left,nonTarget,nonTargetFace8Left-Practice.png,23,26
Face,Object,long,Center,nonTarget,nonTargetObject13Center-Practice.png,23,67
Face,Object,long,Center,nonTarget,nonTargetObject1Center-Practice.png,23,55
Face,Object,long,Center,nonTarget,nonTargetObject6Center-Practice.png,23,60
Face,Object,short,Left,nonTarget,nonTargetObject17Left-Practice.png,23,89
Face,Face,short,Left,nonTarget,nonTargetFace3Left-Practice.png,23,21
Face,Face,long,Right,Target,targetFace1Right-Practice.png,23,113
Face,Face,short,Right,nonTarget,nonTargetFace18Right-Practice.png,24,54
Face,Face,short,Center,nonTarget,nonTargetFace1Center-Practice.png,24,1
Face,Face,long,Center,nonTarget,nonTargetFace5Center-Practice.png,24,5
Face,Face,long,Left,nonTarget,nonTargetFace3Left-Practice.png,24,21
Face,Object,long,Center,nonTarget,nonTargetObject11Center-Practice.png,24,65
Face,Object,long,Center,nonTarget,nonTargetObject6Center-Practice.png,24,60
Face,Face,short,Center,nonTarget,nonTargetFace2Center-Practice.png,24,2
Face,Object,short,Center,nonTarget,nonTargetObject9Center-Practice.png,24,63
Face,Face,long,Left,Target,targetFace2Left-Practice.png,24,112
Face,Object,short,Right,nonTarget,nonTargetObject16Right-Practice.png,24,106
Face,Face,long,Right,nonTarget,nonTargetFace10Right-Practice.png,24,46
Face,Object,long,Center,nonTarget,nonTargetObject4Center-Practice.png,24,58
Face,Object,short,Right,nonTarget,nonTargetObject5Right-Practice.png,24,95
Face,Face,long,Left,Target,targetFace1Left-Practice.png,24,111
Face,Object,short,Right,nonTarget,nonTargetObject4Right-Practice.png,25,94
Face,Face,short,Left,nonTarget,nonTargetFace8Left-Practice.png,25,26
Face,Face,short,Center,nonTarget,nonTargetFace16Center-Practice.png,25,16
Face,Face,short,Right,nonTarget,nonTargetFace17Right-Practice.png,25,53
Face,Object,short,Center,nonTarget,nonTargetObject4Center-Practice.png,25,58
Face,Face,long,Left,nonTarget,nonTargetFace18Left-Practice.png,25,36
Face,Face,short,Right,nonTarget,nonTargetFace3Right-Practice.png,25,39
Face,Face,short,Center,nonTarget,nonTargetFace17Center-Practice.png,25,17
Face,Object,long,Left,nonTarget,nonTargetObject17Left-Practice.png,25,89
Face,Object,long,Right,nonTarget,nonTargetObject9Right-Practice.png,25,99
Face,Face,long,Center,Target,targetFace1Center-Practice.png,25,109
Face,Object,long,Right,nonTarget,nonTargetObject2Right-Practice.png,25,92
Face,Object,short,Left,nonTarget,nonTargetObject8Left-Practice.png,25,80
Face,Face,long,Right,Target,targetFace2Right-Practice.png,25,114
Face,Face,long,Right,nonTarget,nonTargetFace4Right-Practice.png,26,40
Face,Object,short,Left,nonTarget,nonTargetObject18Left-Practice.png,26,90
Face,Face,long,Center,nonTarget,nonTargetFace5Center-Practice.png,26,5
Face,Face,short,Left,Target,targetFace1Left-Practice.png,26,111
Face,Object,short,Right,nonTarget,nonTargetObject7Right-Practice.png,26,97
Face,Object,long,Center,nonTarget,nonTargetObject14Center-Practice.png,26,68
Face,Object,short,Center,nonTarget,nonTargetObject10Center-Practice.png,26,64
Face,Face,short,Center,nonTarget,nonTargetFace17Center-Practice.png,26,17
Face,Face,long,Center,nonTarget,nonTargetFace18Center-Practice.png,26,18
Face,Object,long,Right,nonTarget,nonTargetObject6Right-Practice.png,26,96
Face,Face,short,Center,nonTarget,nonTargetFace14Center-Practice.png,26,14
